key,value
total_windows,15432
n_subjects,40
n_movements,4
win_ms,400
overlap,0.5
min_label_conf,0.6
keep_only_active_stdup,False

# windows_by_movement
movement,count
STDUP,9093
UPS,2500
DNS,2394
WAK,1445


# windows_by_subject
subject,count
35,512
26,467
31,456
14,455
13,452
29,440
36,439
19,425
22,424
5,423
17,422
28,419
33,417
23,412
1,410
39,410
27,402
16,396
32,396
37,395
38,387
24,384
40,378
30,377
34,369
18,364
15,359
25,355
21,353
9,344
20,342
7,339
3,337
8,335
6,331
4,321
2,300
10,298
11,298
12,289
