feature_idx,family,channel,s2_between,s2_within,ICC,ICC_DNS,ICC_STDUP,ICC_UPS,ICC_WAK
29,ZC,3,539.0341552538562,239.66341754106475,0.6922252927014286,0.6438848304022651,0.7284197882156738,0.6619861705493959,0.7089866555315112
47,MNF,3,1616.0221991389783,769.565691430269,0.6774104636963781,0.6009579325205306,0.7660510166746539,0.646566411592281,0.595665321437233
56,MDF,3,2737.7819013179837,1447.6025879430715,0.6541291268084546,0.534245387158403,0.7662800002124793,0.5803350184540598,0.5560120303192511
49,MNF,5,430.56120792265096,371.5379318070059,0.5367930054977609,0.49304560097205324,0.6139679110071167,0.5117163670102312,0.4981340612203973
31,ZC,5,110.94614939379863,99.66492819977648,0.5267821173580243,0.5087133840253846,0.562390840862809,0.5260514868445115,0.476478360850107
50,MNF,6,294.1901526576757,313.910789739911,0.483785062884065,0.37222760602695565,0.5946988443325153,0.47259165244159757,0.35129793757438105
33,ZC,7,108.71125114448418,119.07158034312516,0.47725831852431655,0.40972548625802635,0.6497929489012095,0.3548476355445994,0.42675006623229805
58,MDF,5,475.319657057539,530.2451367796803,0.4726892388940217,0.4278028551071083,0.5480170158996159,0.4428280156625535,0.42713435913103465
54,MDF,1,472.25624213637576,530.7746337051097,0.47082921723638843,0.4475380783161706,0.6038420899111316,0.29886549163166476,0.27531524557916187
51,MNF,7,382.05915952009883,430.0901512040601,0.47042970359653813,0.4225115421669109,0.6779798795367293,0.3164444208042103,0.3926725508644165
45,MNF,1,384.2315551095944,453.7632437199918,0.45851305479013044,0.5438628997940125,0.5247107370395984,0.40290653891854283,0.2980450583896689
32,ZC,6,87.52592630103247,103.72073698486102,0.4576598869606969,0.32512519018531927,0.5920378459907004,0.3970439544885186,0.2884704890157939
35,ZC,9,82.75450253338934,100.03515088847219,0.4527307808960042,0.38100434547637196,0.5716813613866112,0.38586430243911435,0.39599431251404427
59,MDF,6,277.721264491871,361.39235505152624,0.43454130220270343,0.3276344750290319,0.5376977199186143,0.4067987098049762,0.3119447065805936
60,MDF,7,398.9949669368451,539.7690779803088,0.4250215686222372,0.39833536998398816,0.5497896318111681,0.30975310321085664,0.37006332618348337
30,ZC,4,90.51191056879732,129.80288228240275,0.4108299283831058,0.3760236072667321,0.4592168022023362,0.40915374231127327,0.36514864033444805
48,MNF,4,290.5545945373612,424.74324053125343,0.40620085828931646,0.3451439443445563,0.5074821284574684,0.37575132801944644,0.3479939322726161
27,ZC,1,96.25116787192988,143.7325908898702,0.40107367418753365,0.3867828420746831,0.4854028396976928,0.3919137118571606,0.2447826802549376
53,MNF,9,277.51308772075134,419.2857931536671,0.3982685611843951,0.2743378797543111,0.5845306579825094,0.32533803423320834,0.3041894773322096
57,MDF,4,266.8204625756126,482.5493316514726,0.3560598046933777,0.3029357353299029,0.4524887045682956,0.33196585068776335,0.2991633202715595
52,MNF,8,255.35527526154448,462.5497011085679,0.35569509011161576,0.36161778742295597,0.4885376601272139,0.30296108735217375,0.26264158644313446
34,ZC,8,64.03883334728135,119.89656283744195,0.34815937919294343,0.3427669166071025,0.46902803467671694,0.27438582557106844,0.27700123872129057
62,MDF,9,285.33069219457474,578.9975417989325,0.33011844455924383,0.20533605345029604,0.5018156308828736,0.23866165434566533,0.21136099134494074
46,MNF,2,171.45123911855143,370.2230442107666,0.3165209137579001,0.28103903084352866,0.3859241304535432,0.2575799449223515,0.2912885882860857
