subject,movement,status_mode,confidence,fs,t_start,t_end,win_samples,n_channels,y_str,y_int,subject_str,subject_int
1,WAK,2,0.8546511627906976,1920.0001344003344,0.0,0.249479166734375,480,9,WAK,3,1,0
1,WAK,2,0.9393203883495146,1920.0001344003344,0.124999998265625,0.374479164828125,480,9,WAK,3,1,0
1,WAK,2,0.8895833333333333,1920.0001344003344,0.25,0.499479166734375,480,9,WAK,3,1,0
1,WAK,3,0.6104166666666667,1920.0001344003344,0.374999998265625,0.624479164828125,480,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,0.5,0.749479166734375,480,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,0.624999998265625,0.874479164828125,480,9,WAK,3,1,0
1,WAK,5,0.9770833333333332,1920.0001344003344,1.0,1.249479166734375,480,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.124999998265625,1.374479164828125,480,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.25,1.49895833171875,480,9,WAK,3,1,0
1,WAK,5,0.6768558951965066,1920.0001344003344,1.374999998265626,1.623958334,480,9,WAK,3,1,0
1,WAK,2,0.8089171974522293,1920.0001344003344,1.499479165015625,1.74895833171875,480,9,WAK,3,1,0
1,WAK,2,1.0,1920.0001344003344,1.624479167265625,1.873958334,480,9,WAK,3,1,0
1,WAK,2,0.8625,1920.0001344003344,1.749479165015625,1.99895833171875,480,9,WAK,3,1,0
1,WAK,3,0.6375,1920.0001344003344,1.874479167265625,2.123958334,480,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,1.999479165015625,2.24895833171875,480,9,WAK,3,1,0
1,WAK,3,0.65625,1920.0001344003344,2.124479167265625,2.373958334,480,9,WAK,3,1,0
1,WAK,5,0.8958333333333334,1920.0001344003344,2.374479167265625,2.623958334000001,480,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.499479165015625,2.74895833171875,480,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.624479167265625,2.873958334000001,480,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.749479165015625,2.998437498140625,480,9,WAK,3,1,0
1,WAK,2,0.8402061855670103,1920.0001344003344,2.998958331578125,3.248437498140625,480,9,WAK,3,1,0
1,WAK,2,1.0,1920.0001344003344,3.123958332625,3.373437499359375,480,9,WAK,3,1,0
1,WAK,3,0.9166666666666666,1920.0001344003344,3.373958332625,3.623437499359375,480,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,3.498958331578125,3.748437498140626,480,9,WAK,3,1,0
1,WAK,3,0.6479166666666667,1920.0001344003344,3.623958332625,3.873437499359375,480,9,WAK,3,1,0
1,WAK,5,0.91875,1920.0001344003344,3.873958332625,4.123437499359375,480,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,3.998958331578125,4.248437498140626,480,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,4.123958332625,4.37291666596875,480,9,WAK,3,1,0
1,WAK,5,0.6536796536796536,1920.0001344003344,4.248958331578125,4.497916665953125,480,9,WAK,3,1,0
1,WAK,2,0.69375,1920.0001344003344,4.373437499234375,4.62291666596875,480,9,WAK,3,1,0
