subject,movement,status_mode,confidence,fs,t_start,t_end,win_samples,n_channels,y_str,y_int,subject_str,subject_int
1,WAK,2,0.7983870967741935,1920.0001344003344,0.074999998265625,0.224479164828125,288,9,WAK,3,1,0
1,WAK,2,0.9067164179104478,1920.0001344003344,0.15,0.299479166734375,288,9,WAK,3,1,0
1,WAK,2,1.0,1920.0001344003344,0.224999998265625,0.374479164828125,288,9,WAK,3,1,0
1,WAK,2,1.0,1920.0001344003344,0.3,0.449479166734375,288,9,WAK,3,1,0
1,WAK,2,0.6493055555555556,1920.0001344003344,0.374999998265625,0.524479164828125,288,9,WAK,3,1,0
1,WAK,3,0.8506944444444444,1920.0001344003344,0.45,0.599479166734375,288,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,0.524999998265625,0.674479164828125,288,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,0.6,0.749479166734375,288,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,0.674999998265625,0.824479164828125,288,9,WAK,3,1,0
1,WAK,3,0.9895833333333334,1920.0001344003344,0.75,0.899479166734375,288,9,WAK,3,1,0
1,WAK,4,0.7048611111111112,1920.0001344003344,0.9,1.049479166734375,288,9,WAK,3,1,0
1,WAK,5,0.7951388888888888,1920.0001344003344,0.974999998265625,1.124479164828125,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.05,1.199479166734375,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.124999998265625,1.274479164828125,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.2,1.349479166734375,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.274999998265625,1.424479164828126,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.350000000000001,1.49895833171875,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,1.424999998265625,1.573958334,288,9,WAK,3,1,0
1,WAK,2,0.7744360902255639,1920.0001344003344,1.574479167265625,1.723958334,288,9,WAK,3,1,0
1,WAK,2,1.0,1920.0001344003344,1.649479165015625,1.79895833171875,288,9,WAK,3,1,0
1,WAK,2,1.0,1920.0001344003344,1.724479167265625,1.873958334,288,9,WAK,3,1,0
1,WAK,2,1.0,1920.0001344003344,1.799479165015625,1.94895833171875,288,9,WAK,3,1,0
1,WAK,2,0.6041666666666666,1920.0001344003344,1.874479167265625,2.023958334,288,9,WAK,3,1,0
1,WAK,3,0.8958333333333334,1920.0001344003344,1.949479165015625,2.09895833171875,288,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,2.024479167265625,2.173958334,288,9,WAK,3,1,0
1,WAK,3,1.0,1920.0001344003344,2.099479165015625,2.24895833171875,288,9,WAK,3,1,0
1,WAK,3,0.7604166666666666,1920.0001344003344,2.174479167265625,2.323958334,288,9,WAK,3,1,0
1,WAK,4,0.7395833333333334,1920.0001344003344,2.249479165015625,2.39895833171875,288,9,WAK,3,1,0
1,WAK,5,0.9930555555555556,1920.0001344003344,2.399479165015625,2.54895833171875,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.474479167265625,2.623958334000001,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.549479165015625,2.69895833171875,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.624479167265625,2.773958334,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.699479165015625,2.84895833171875,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.774479167265625,2.923437499359375,288,9,WAK,3,1,0
1,WAK,5,1.0,1920.0001344003344,2.849479165015625,2.998437498140625,288,9,WAK,3,1,0
1,WAK,1,1.0,1920.0001344003344,2.923958332625,3.073437499359375,288,9,WAK,3,1,0
1,WAK,2,0.6836734693877551,1920.0001344003344,2.998958331578125,3.148437498140625,288,9,WAK,3,1,0
1,WAK,2,0.9652777777777778,1920.0001344003344,3.073958332625,3.223437499359375,288,9,WAK,3,1,0
